Format,1.0B,
Memory Length,10000,
IntpDistance,4096,
Trigger Address,4889,
Trigger Level,-9.400E-03,
Source,CH2,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,15,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,5.000E-03,
Vertical Position,4.800E-03,
Horizontal Units,S,
Horizontal Scale,5.000E-08,
Horizontal Position,1.105E-07,
Horizontal Mode,Main,
SincET Mode,Sinc2,
Sampling Period,1.000E-09,
Horizontal Old Scale,5.000E-08,
Horizontal Old Position,1.105E-07,
Firmware,V1.09,
Mode,Detail,
Waveform Data,
-4.520500e-06,-4.00e-04,
-4.519500e-06,-4.00e-04,
-4.518500e-06,-4.00e-04,
-4.517500e-06,-2.00e-04,
-4.516500e-06,-4.00e-04,
-4.515500e-06,-4.00e-04,
-4.514500e-06,-4.00e-04,
-4.513500e-06,-4.00e-04,
-4.512500e-06,-2.00e-04,
-4.511500e-06,-2.00e-04,
-4.510500e-06,-4.00e-04,
-4.509500e-06,-4.00e-04,
-4.508500e-06,-2.00e-04,
-4.507500e-06,-4.00e-04,
-4.506500e-06,-4.00e-04,
-4.505500e-06,-4.00e-04,
-4.504500e-06,-4.00e-04,
-4.503500e-06,-4.00e-04,
-4.502500e-06,-4.00e-04,
-4.501500e-06,-4.00e-04,
-4.500500e-06,-4.00e-04,
-4.499500e-06,-2.00e-04,
-4.498500e-06,-4.00e-04,
-4.497500e-06,-8.00e-04,
-4.496500e-06,-2.00e-04,
-4.495500e-06,-4.00e-04,
-4.494500e-06,-4.00e-04,
-4.493500e-06,-4.00e-04,
-4.492500e-06,-4.00e-04,
-4.491500e-06,-4.00e-04,
-4.490500e-06,-4.00e-04,
-4.489500e-06,-4.00e-04,
-4.488500e-06,-4.00e-04,
-4.487500e-06,-4.00e-04,
-4.486500e-06,-4.00e-04,
-4.485500e-06,-4.00e-04,
-4.484500e-06,-4.00e-04,
-4.483500e-06,-4.00e-04,
-4.482500e-06,-4.00e-04,
-4.481500e-06,-8.00e-04,
-4.480500e-06,-4.00e-04,
-4.479500e-06,-4.00e-04,
-4.478500e-06,-4.00e-04,
-4.477500e-06,-2.00e-04,
-4.476500e-06,-2.00e-04,
-4.475500e-06,-4.00e-04,
-4.474500e-06,-4.00e-04,
-4.473500e-06,-4.00e-04,
-4.472500e-06,-4.00e-04,
-4.471500e-06,-4.00e-04,
-4.470500e-06,-4.00e-04,
-4.469500e-06,-4.00e-04,
-4.468500e-06,-4.00e-04,
-4.467500e-06,-4.00e-04,
-4.466500e-06,-4.00e-04,
-4.465500e-06,-4.00e-04,
-4.464500e-06,-2.00e-04,
-4.463500e-06,-4.00e-04,
-4.462500e-06,-8.00e-04,
-4.461500e-06,-8.00e-04,
-4.460500e-06,-4.00e-04,
-4.459500e-06,-4.00e-04,
-4.458500e-06,-2.00e-04,
-4.457500e-06,-4.00e-04,
-4.456500e-06,-2.00e-04,
-4.455500e-06,-4.00e-04,
-4.454500e-06,-8.00e-04,
-4.453500e-06,-8.00e-04,
-4.452500e-06,-4.00e-04,
-4.451500e-06,-8.00e-04,
-4.450500e-06,-8.00e-04,
-4.449500e-06,-8.00e-04,
-4.448500e-06,-2.00e-04,
-4.447500e-06,-2.00e-04,
-4.446500e-06,-4.00e-04,
-4.445500e-06,-4.00e-04,
-4.444500e-06,-4.00e-04,
-4.443500e-06,-8.00e-04,
-4.442500e-06,-4.00e-04,
-4.441500e-06,-4.00e-04,
-4.440500e-06,-4.00e-04,
-4.439500e-06,-4.00e-04,
-4.438500e-06,-8.00e-04,
-4.437500e-06,-4.00e-04,
-4.436500e-06,-4.00e-04,
-4.435500e-06,-4.00e-04,
-4.434500e-06,-4.00e-04,
-4.433500e-06,-2.00e-04,
-4.432500e-06,-4.00e-04,
-4.431500e-06,-4.00e-04,
-4.430500e-06,-4.00e-04,
-4.429500e-06,-4.00e-04,
-4.428500e-06,-4.00e-04,
-4.427500e-06,-8.00e-04,
-4.426500e-06,-8.00e-04,
-4.425500e-06,-8.00e-04,
-4.424500e-06,-4.00e-04,
-4.423500e-06,-8.00e-04,
-4.422500e-06,-4.00e-04,
-4.421500e-06,-4.00e-04,
-4.420500e-06,-4.00e-04,
-4.419500e-06,-4.00e-04,
-4.418500e-06,-4.00e-04,
-4.417500e-06,-4.00e-04,
-4.416500e-06,-2.00e-04,
-4.415500e-06,-4.00e-04,
-4.414500e-06,-8.00e-04,
-4.413500e-06,-8.00e-04,
-4.412500e-06,-4.00e-04,
-4.411500e-06,-4.00e-04,
-4.410500e-06,-4.00e-04,
-4.409500e-06,-8.00e-04,
-4.408500e-06,-4.00e-04,
-4.407500e-06,-4.00e-04,
-4.406500e-06,-4.00e-04,
-4.405500e-06,-4.00e-04,
-4.404500e-06,-4.00e-04,
-4.403500e-06,-4.00e-04,
-4.402500e-06,-4.00e-04,
-4.401500e-06,-8.00e-04,
-4.400500e-06,-8.00e-04,
-4.399500e-06,-4.00e-04,
-4.398500e-06,-4.00e-04,
-4.397500e-06,-4.00e-04,
-4.396500e-06,-4.00e-04,
-4.395500e-06,-8.00e-04,
-4.394500e-06,-4.00e-04,
-4.393500e-06,-4.00e-04,
-4.392500e-06,-8.00e-04,
-4.391500e-06,-8.00e-04,
-4.390500e-06,-8.00e-04,
-4.389500e-06,-4.00e-04,
-4.388500e-06,-4.00e-04,
-4.387500e-06,-4.00e-04,
-4.386500e-06,-8.00e-04,
-4.385500e-06,-4.00e-04,
-4.384500e-06,-4.00e-04,
-4.383500e-06,-2.00e-04,
-4.382500e-06,-4.00e-04,
-4.381500e-06,-4.00e-04,
-4.380500e-06,-4.00e-04,
